from,to,weight
JP,AS,3
JP,CB,3
JP,GL,3
JP,MH,1
JP,NS,1
JP,RD,3
JP,RH,3
JP,TJ,3
AS,CB,3
AS,GL,2
AS,MH,1
AS,NS,1
AS,RD,2
AS,RH,3
AS,TJ,3
CB,GL,2
CB,MH,1
CB,NS,1
CB,RD,2
CB,RH,2
CB,TJ,2
GL,MH,1
GL,NS,1
GL,RD,2
GL,RH,2
GL,TJ,2
MH,NS,3
MH,RD,1
MH,RH,2
MH,TJ,2
NS,RD,1
NS,RH,2
NS,TJ,2
RD,RH,3
RD,TJ,3
RH,TJ,3
